service_id,edge_id,plan_cpu,plan_mem,plan_disk,submit_time,duration,sla
133,818,4,0.042409339,0.034085122,272,26.25,
134,400,4,0.042409339,0.034085122,272,77.46218487,
135,284,4,0.042409339,0.034085122,281,139.7472527,
136,276,4,0.042409339,0.034085122,281,61.16666667,
137,665,8,0.084818678,0.085212805,281,59,
138,185,8,0.084818678,0.056808536,281,11,
139,942,4,0.042409339,0.034085122,281,11,
140,566,4,0.042409339,0.034085122,281,3,
141,718,4,0.042409339,0.034085122,281,13.33333333,
142,970,4,0.042409339,0.034085122,281,58.80645161,
143,839,8,0.084818678,0.056808536,289,1,
144,651,8,0.084818678,0.085212805,289,2,
146,679,4,0.042409339,0.034085122,289,2,
147,363,8,0.169637357,0.056808536,289,2,
148,822,8,0.084818678,0.056808536,289,2,
149,772,4,0.042409339,0.034085122,289,154.0909091,
150,662,8,0.084818678,0.056808536,289,220.8974359,
151,1001,4,0.042409339,0.034085122,289,210.5121951,
152,104,8,0.084818678,0.056808536,289,264.6666667,
153,1109,4,0.042409339,0.034085122,313,10.02040816,
154,348,4,0.042409339,0.034085122,313,59.71698113,
155,1304,4,0.042409339,0.034085122,313,3,
156,989,8,0.084818678,0.085212805,313,3,
157,1101,6,0.042409339,0.034085122,313,34.5,
158,172,8,0.169637357,0.056808536,313,3.1,
159,37,8,0.084818678,0.056808536,313,5.421052632,
160,1311,4,0.042409339,0.034085122,313,75.35849057,
161,306,8,0.084818678,0.085212805,315,10,
162,1139,8,0.084818678,0.056808536,315,15.76190476,
163,30,8,0.169637357,0.056808536,315,3,
164,1145,4,0.042409339,0.056808536,315,3,
165,964,8,0.169637357,0.056808536,315,12.16666667,
166,1193,4,0.042409339,0.034085122,315,7.25,
167,1192,4,0.042409339,0.034085122,315,6.111111111,
168,696,4,0.042409339,0.034085122,315,17,
169,567,4,0.042409339,0.034085122,333,22.546,
170,34,4,0.042409339,0.034085122,333,3,
171,415,8,0.084818678,0.056808536,333,3,
172,664,4,0.042409339,0.034085122,333,3,
173,1192,4,0.042409339,0.034085122,333,3,
174,582,4,0.042409339,0.034085122,333,3,
175,1036,8,0.169637357,0.056808536,333,3,
176,960,8,0.084818678,0.056808536,333,4,
177,333,4,0.042409339,0.034085122,333,11,
178,287,8,0.084818678,0.045446829,333,7,
179,1163,8,0.084818678,0.056808536,333,76.8,
180,1297,4,0.042409339,0.034085122,344,94.1509434,
181,101,8,0.084818678,0.085212805,344,163.2677165,
182,933,4,0.042409339,0.034085122,344,87.29411765,
183,756,4,0.042409339,0.034085122,344,54.88235294,
184,753,8,0.084818678,0.056808536,344,27.16666667,
185,664,8,0.084818678,0.056808536,344,145.9275362,
186,729,4,0.042409339,0.034085122,348,56.20325203,
187,563,4,0.042409339,0.034085122,348,77.224,
188,343,4,0.042409339,0.034085122,348,35.86666667,
190,340,4,0.042409339,0.034085122,348,11.6,
191,945,4,0.042409339,0.034085122,348,96,
192,674,8,0.084818678,0.056808536,348,100,
193,114,4,0.042409339,0.034085122,348,36.954,
194,829,8,0.084818678,0.056808536,348,3,
195,562,16,0.318070044,0.113617073,348,2,
196,908,16,0.169637357,0.113617073,348,2,
197,654,4,0.042409339,0.034085122,348,2,
198,910,8,0.169637357,0.056808536,348,2,
199,969,4,0.042409339,0.034085122,348,2,
200,1088,4,0.042409339,0.056808536,348,3,
201,891,4,0.042409339,0.034085122,348,9,
202,826,4,0.042409339,0.034085122,348,13.5,
203,195,4,0.042409339,0.034085122,348,63.3492823,
204,882,4,0.042409339,0.034085122,359,3,
205,913,8,0.084818678,0.056808536,359,3,
206,320,4,0.042409339,0.034085122,359,2.082125604,
207,771,4,0.042409339,0.034085122,361,2,
209,628,8,0.169637357,0.056808536,361,3,
210,564,4,0.042409339,0.034085122,361,2.068965517,
211,853,4,0.042409339,0.034085122,385,81.61705989,
212,1170,8,0.169637357,0.056808536,385,185.237525,
213,363,8,0.169637357,0.056808536,400,165.988,
214,985,8,0.084818678,0.068170244,400,2,
215,37,4,0.042409339,0.034085122,400,7.5,
216,733,4,0.042409339,0.034085122,400,7.5,
217,1209,4,0.042409339,0.034085122,400,9,
218,693,8,0.169637357,0.056808536,400,8,
219,988,8,0.084818678,0.056808536,400,4,
220,572,4,0.042409339,0.034085122,400,2,
221,757,16,0.169637357,0.113617073,400,2,
222,30,4,0.042409339,0.034085122,400,4,
223,818,4,0.042409339,0.034085122,400,2,
224,202,4,0.042409339,0.034085122,400,4,
225,79,4,0.042409339,0.034085122,400,9.5,
226,873,4,0.042409339,0.034085122,400,10.5,
227,781,4,0.042409339,0.034085122,400,224.019656,
228,762,16,0.318070044,0.113617073,412,11,
229,37,8,0.084818678,0.056808536,412,1.638297872,
230,230,8,0.084818678,0.056808536,412,7.878980892,
231,637,4,0.042409339,0.034085122,412,3,
232,335,8,0.084818678,0.056808536,449,45.824,
234,625,16,0.169637357,0.113617073,449,2,
235,589,8,0.084818678,0.068170244,449,3,
236,1141,16,0.254456035,0.113617073,449,3,
237,796,4,0.042409339,0.034085122,449,3,
238,108,8,0.084818678,0.085212805,449,2,
239,121,8,0.084818678,0.034085122,449,2,
240,322,4,0.042409339,0.034085122,449,3,
241,282,8,0.084818678,0.056808536,449,10.5,
242,97,8,0.084818678,0.056808536,449,8.5,
243,332,4,0.042409339,0.034085122,449,79.65648855,
244,212,8,0.084818678,0.068170244,451,79.10465116,
245,566,8,0.169637357,0.056808536,451,118.581749,
246,15,4,0.042409339,0.034085122,451,143.9555556,
247,688,4,0.042409339,0.034085122,453,110.532,
248,206,8,0.084818678,0.056808536,453,2,
249,1195,4,0.042409339,0.034085122,453,10,
251,23,8,0.084818678,0.056808536,453,3,
252,1236,4,0.042409339,0.034085122,453,2,
253,855,4,0.042409339,0.034085122,453,2,
254,696,8,0.084818678,0.085212805,453,2,
255,72,4,0.042409339,0.034085122,453,2,
256,415,4,0.042409339,0.034085122,453,3,
257,207,8,0.169637357,0.056808536,453,9.5,
258,1224,8,0.084818678,0.056808536,453,9.5,
259,729,16,0.169637357,0.113617073,453,157.4490862,
260,634,8,0.084818678,0.056808536,461,69.66666667,
261,1275,4,0.042409339,0.034085122,461,92.90697674,
262,555,8,0.084818678,0.056808536,461,44.21333333,
263,1118,4,0.042409339,0.056808536,461,17.33333333,
264,1006,4,0.042409339,0.034085122,461,126.5555556,
265,261,8,0.169637357,0.056808536,461,153,
266,803,4,0.042409339,0.034085122,478,66.08474576,
267,313,4,0.042409339,0.034085122,478,173.6666667,
268,667,4,0.042409339,0.034085122,478,179,
269,8,8,0.084818678,0.085212805,492,84.06622517,
270,895,8,0.084818678,0.085212805,502,104.8050314,
271,4,16,0.169637357,0.113617073,502,87.96774194,
272,839,4,0.042409339,0.034085122,505,104.9828571,
273,1245,8,0.084818678,0.056808536,505,81.69198312,
274,629,16,0.318070044,0.113617073,505,38.33333333,
275,1243,8,0.084818678,0.056808536,515,47.35135135,
276,586,8,0.084818678,0.056808536,515,75.15258856,
277,368,4,0.042409339,0.034085122,515,89,
278,756,4,0.042409339,0.034085122,515,47.17391304,
279,738,4,0.042409339,0.034085122,515,13.66666667,
280,637,4,0.042409339,0.034085122,515,13,
281,1304,8,0.084818678,0.113617073,515,18.5,
282,1085,4,0.042409339,0.034085122,515,33.65,
283,1221,4,0.042409339,0.034085122,515,13,
284,1210,4,0.042409339,0.034085122,515,2,
285,871,4,0.042409339,0.034085122,515,88.66666667,
286,917,4,0.042409339,0.034085122,515,13.33333333,
287,702,4,0.042409339,0.034085122,515,19,
288,947,4,0.042409339,0.034085122,539,116.3816254,
289,661,4,0.042409339,0.034085122,539,130.9473684,
290,25,4,0.042409339,0.034085122,539,65.58490566,
291,258,4,0.042409339,0.045446829,539,1.066298343,
292,385,4,0.042409339,0.034085122,539,98.89944134,
293,566,4,0.042409339,0.034085122,539,9,
294,692,8,0.169637357,0.056808536,553,25.594,
295,958,8,0.084818678,0.056808536,553,3,
296,1084,8,0.084818678,0.056808536,553,3,
297,956,8,0.084818678,0.085212805,553,3,
298,678,4,0.042409339,0.034085122,553,3,
299,1288,8,0.084818678,0.056808536,553,3,
300,1272,8,0.084818678,0.056808536,553,3,
301,249,4,0.053011674,0.034085122,553,5,
302,1280,4,0.042409339,0.034085122,553,10.5,
303,96,8,0.084818678,0.085212805,553,9,
304,214,8,0.084818678,0.085212805,553,55.94736842,
305,5,16,0.169637357,0.113617073,637,20.188,
306,935,4,0.042409339,0.034085122,637,3,
307,310,8,0.084818678,0.085212805,637,2,
308,1118,16,0.169637357,0.113617073,637,4,
309,809,8,0.084818678,0.068170244,637,2,
310,633,8,0.084818678,0.056808536,637,2,
311,2,8,0.084818678,0.085212805,637,2,
312,680,8,0.084818678,0.056808536,637,4,
313,317,4,0.042409339,0.034085122,637,10,
314,241,4,0.042409339,0.034085122,637,8,
315,118,8,0.084818678,0.056808536,637,68.8,
316,376,4,0.042409339,0.034085122,648,22.212,
317,684,4,0.042409339,0.034085122,648,3,
318,970,8,0.169637357,0.056808536,648,3,
319,603,8,0.084818678,0.068170244,648,4,
321,245,16,0.318070044,0.113617073,648,3,
322,599,4,0.042409339,0.034085122,648,3,
323,303,16,0.169637357,0.113617073,648,3,
324,158,8,0.084818678,0.056808536,648,4,
325,916,4,0.042409339,0.034085122,648,10,
326,86,8,0.084818678,0.056808536,648,8.5,
327,96,8,0.169637357,0.056808536,648,30.41492537,
328,889,4,0.042409339,0.034085122,653,11,
329,1147,4,0.042409339,0.034085122,653,12.04761905,
330,319,4,0.042409339,0.034085122,653,23.86813187,
331,1250,4,0.042409339,0.034085122,653,14.92592593,
332,1026,8,0.084818678,0.056808536,653,4.894736842,
333,31,8,0.169637357,0.056808536,653,8,
334,954,4,0.042409339,0.034085122,653,4,
335,1229,4,0.042409339,0.034085122,653,5,
336,1000,4,0.042409339,0.034085122,653,27.02197802,
337,37,8,0.169637357,0.056808536,653,26.98901099,
338,934,4,0.042409339,0.034085122,677,54.994,
339,1181,8,0.169637357,0.056808536,677,2,
340,29,8,0.084818678,0.056808536,677,2,
341,600,4,0.042409339,0.034085122,677,2,
342,600,8,0.084818678,0.068170244,677,2,
343,396,8,0.169637357,0.056808536,677,2,
344,720,4,0.042409339,0.034085122,677,2,
345,857,4,0.042409339,0.034085122,677,3,
346,103,8,0.084818678,0.068170244,677,9,
347,904,8,0.084818678,0.045446829,677,7,
348,1196,4,0.042409339,0.034085122,677,90.72625698,
349,68,16,0.318070044,0.113617073,680,305.28,
350,405,4,0.042409339,0.034085122,680,554.0813953,
351,1307,4,0.042409339,0.034085122,680,269,
